轮次,训练样本数,袋外样本数,准确率,精确率,召回率,F1,TP,TN,FP,FN
1,17,7,0.428571,0.200000,1.000000,0.333333,1,2,4,0
2,17,4,0.750000,0.500000,1.000000,0.666667,1,2,1,0
3,17,7,0.571429,0.500000,0.666667,0.571429,2,2,2,1
4,17,9,0.777778,0.750000,0.750000,0.750000,3,4,1,1
5,17,7,0.714286,0.600000,1.000000,0.750000,3,2,2,0
6,17,5,0.400000,0.333333,0.500000,0.400000,1,1,2,1
7,17,7,0.428571,1.000000,0.200000,0.333333,1,2,0,4
8,17,6,0.666667,0.500000,1.000000,0.666667,2,2,2,0
9,17,5,0.800000,0.666667,1.000000,0.800000,2,2,1,0
10,17,8,0.500000,0.428571,1.000000,0.600000,3,1,4,0
11,17,6,0.500000,0.400000,1.000000,0.571429,2,1,3,0
12,17,6,0.833333,0.666667,1.000000,0.800000,2,3,1,0
13,17,5,0.800000,0.500000,1.000000,0.666667,1,3,1,0
14,17,5,0.800000,1.000000,0.666667,0.800000,2,2,0,1
15,17,9,0.444444,0.375000,1.000000,0.545455,3,1,5,0
16,17,4,0.750000,1.000000,0.500000,0.666667,1,2,0,1
17,17,5,0.600000,0.333333,1.000000,0.500000,1,2,2,0
18,17,6,0.833333,0.750000,1.000000,0.857143,3,2,1,0
19,17,6,0.500000,0.000000,0.000000,0.000000,0,3,1,2
20,17,7,0.857143,0.500000,1.000000,0.666667,1,5,1,0
21,17,4,1.000000,1.000000,1.000000,1.000000,3,1,0,0
22,17,6,0.666667,0.500000,1.000000,0.666667,2,2,2,0
23,17,7,0.571429,0.600000,0.750000,0.666667,3,1,2,1
24,17,7,0.714286,0.666667,0.666667,0.666667,2,3,1,1
25,17,6,0.500000,1.000000,0.250000,0.400000,1,2,0,3
26,17,5,0.800000,0.666667,1.000000,0.800000,2,2,1,0
27,17,7,0.714286,0.500000,0.500000,0.500000,1,4,1,1
28,17,8,0.375000,0.000000,0.000000,0.000000,0,3,0,5
29,17,7,0.857143,1.000000,0.750000,0.857143,3,3,0,1
30,17,7,0.571429,0.666667,0.500000,0.571429,2,2,1,2
31,17,8,0.750000,1.000000,0.500000,0.666667,2,4,0,2
32,17,6,0.500000,1.000000,0.250000,0.400000,1,2,0,3
33,17,5,0.200000,0.000000,0.000000,0.000000,0,1,4,0
34,17,6,0.833333,0.500000,1.000000,0.666667,1,4,1,0
35,17,5,0.600000,1.000000,0.333333,0.500000,1,2,0,2
36,17,7,0.714286,1.000000,0.500000,0.666667,2,3,0,2
37,17,6,0.666667,0.750000,0.750000,0.750000,3,1,1,1
38,17,5,0.400000,1.000000,0.400000,0.571429,2,0,0,3
39,17,8,0.625000,0.571429,1.000000,0.727273,4,1,3,0
40,17,7,0.571429,0.500000,0.333333,0.400000,1,3,1,2
41,17,6,0.500000,0.333333,0.500000,0.400000,1,2,2,1
42,17,5,0.800000,1.000000,0.500000,0.666667,1,3,0,1
43,17,6,0.666667,0.500000,1.000000,0.666667,2,2,2,0
44,17,6,0.833333,1.000000,0.500000,0.666667,1,4,0,1
45,17,6,0.500000,0.500000,0.333333,0.400000,1,2,1,2
46,17,7,0.571429,1.000000,0.400000,0.571429,2,2,0,3
47,17,5,0.400000,0.000000,0.000000,0.000000,0,2,0,3
